epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1422.51,0,242.68,0,0,0,0,0,0,303.958,0,0.00036,0.00036,0.00036
2,2633.92,0,186.724,0,0,0,0,0,0,254.876,0,0.00066674,0.00066674,0.00066674
